Boro,Apartment,Story,Class,OrderNumber,CurrentStatus
BRONX,1A,1,C,508,VIOLATION CLOSED
MANHATTAN,3H,4,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,3C,3,B,508,VIOLATION CLOSED
MANHATTAN,52,5,A,556,NOT COMPLIED WITH
BROOKLYN,F15,6,B,501,VIOLATION CLOSED
BRONX,7C,3,A,502,NOV SENT OUT
BROOKLYN,4R,4,C,507,VIOLATION CLOSED
BROOKLYN,3R,3,B,569,VIOLATION DISMISSED
BRONX,6F,6,C,510,VIOLATION CLOSED
MANHATTAN,7,3,B,508,NOV SENT OUT
BROOKLYN,2R,2,C,790,VIOLATION CLOSED
BRONX,16,3,B,568,NOV SENT OUT
BROOKLYN,,977,C,671,VIOLATION CLOSED
STATEN ISLAND,2FL,2,B,808,NOV SENT OUT
MANHATTAN,52B,5,B,566,VIOLATION CLOSED
MANHATTAN,53,5,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3A,3,A,556,VIOLATION DISMISSED
BROOKLYN,D1,4,B,530,VIOLATION CLOSED
BROOKLYN,2FL,2,B,801,VIOLATION DISMISSED
BROOKLYN,3B,3,B,1502,NOT COMPLIED WITH
MANHATTAN,1,2,B,569,VIOLATION CLOSED
BROOKLYN,1,2,B,510,VIOLATION CLOSED
BRONX,,1,C,501,NOV CERTIFIED LATE
BROOKLYN,3H,3,B,502,NOV SENT OUT
BRONX,4I,4,B,501,VIOLATION CLOSED
BRONX,3B,2,B,569,VIOLATION CLOSED
BRONX,1A,1,A,550,VIOLATION CLOSED
BRONX,,-999,B,686,VIOLATION CLOSED
MANHATTAN,46,4,A,556,VIOLATION CLOSED
BRONX,1A,1,B,583,VIOLATION CLOSED
BROOKLYN,2,1,B,949,VIOLATION CLOSED
BROOKLYN,E4,5,B,521,VIOLATION CLOSED
BRONX,D1,4,A,556,VIOLATION CLOSED
BRONX,3F,3,B,508,VIOLATION CLOSED
MANHATTAN,1L,1,A,529,VIOLATION CLOSED
BRONX,2D,2,A,501,VIOLATION CLOSED
BROOKLYN,3A,3,C,616,VIOLATION CLOSED
MANHATTAN,52,5,B,508,NOT COMPLIED WITH
BRONX,1C,,B,510,VIOLATION CLOSED
