1,0,Outside Car Distraction,,,VAN,,
1,0,Prescription Medication,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Backing Unsafely,,,VAN,,
1,0,Physical Disability,Unspecified,,PICK-UP TRUCK,PASSENGER VEHICLE,
2,0,Driver Inexperience,Illness,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
1,0,Prescription Medication,Unspecified,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
1,0,Passenger Distraction,,,PICK-UP TRUCK,,
1,0,Pavement Slippery,Pavement Slippery,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
1,0,Failure to Yield Right-of-Way,Physical Disability,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
3,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
2,0,Driver Inattention/Distraction,Unspecified,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
1,0,Outside Car Distraction,Unspecified,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
1,0,Driver Inattention/Distraction,,,PASSENGER VEHICLE,,
1,0,Driver Inattention/Distraction,Driver Inexperience,,TAXI,BICYCLE,
3,0,Driver Inattention/Distraction,Unspecified,,TAXI,UNKNOWN,
2,0,Alcohol Involvement,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
1,0,Physical Disability,Unspecified,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
1,0,Lost Consciousness,Unspecified,,PASSENGER VEHICLE,BICYCLE,
1,0,Driver Inattention/Distraction,,,SPORT UTILITY / STATION WAGON,,
1,0,Driver Inexperience,,,PASSENGER VEHICLE,,
1,0,Lane Marking Improper/Inadequate,Lane Marking Improper/Inadequate,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
2,0,Fatigued/Drowsy,Unspecified,,PASSENGER VEHICLE,LIVERY VEHICLE,
3,0,Prescription Medication,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Traffic Control Disregarded,Unspecified,,PASSENGER VEHICLE,BICYCLE,
1,0,Driver Inattention/Distraction,,,SPORT UTILITY / STATION WAGON,,
1,0,Backing Unsafely,,,PASSENGER VEHICLE,,
2,0,Fatigued/Drowsy,Unspecified,,TAXI,PASSENGER VEHICLE,
3,0,Driver Inattention/Distraction,Fatigued/Drowsy,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
4,0,Traffic Control Device Improper/Non-Working,Traffic Control Device Improper/Non-Working,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Failure to Yield Right-of-Way,Unspecified,,PASSENGER VEHICLE,BICYCLE,
1,0,Following Too Closely,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
1,0,Driver Inattention/Distraction,Unspecified,,PASSENGER VEHICLE,UNKNOWN,
2,0,Fatigued/Drowsy,Unspecified,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
1,0,Failure to Yield Right-of-Way,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,
3,0,Failure to Yield Right-of-Way,Unspecified,,SPORT UTILITY / STATION WAGON,FIRE TRUCK,
1,0,Driver Inattention/Distraction,Unspecified,,TAXI,BICYCLE,
1,0,Physical Disability,Unspecified,,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),
2,0,Fatigued/Drowsy,,,PASSENGER VEHICLE,,
1,0,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,,
5,0,Lost Consciousness,Unspecified,,PASSENGER VEHICLE,BUS,
1,0,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,,
2,0,Fatigued/Drowsy,Unspecified,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
1,0,Fatigued/Drowsy,Unspecified,,SPORT UTILITY / STATION WAGON,VAN,
1,0,Physical Disability,Physical Disability,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Fatigued/Drowsy,Unspecified,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
1,0,Fatigued/Drowsy,Unspecified,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Driver Inattention/Distraction,Fatigued/Drowsy,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Passenger Distraction,Other Vehicular,,PASSENGER VEHICLE,BICYCLE,
1,0,Driver Inattention/Distraction,,,SPORT UTILITY / STATION WAGON,,
2,0,Fatigued/Drowsy,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Traffic Control Disregarded,,,PASSENGER VEHICLE,OTHER,
1,0,Prescription Medication,,,SPORT UTILITY / STATION WAGON,,
1,0,Aggressive Driving/Road Rage,,,PASSENGER VEHICLE,,
1,0,Traffic Control Disregarded,Unspecified,,VAN,TAXI,
1,0,Failure to Yield Right-of-Way,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Driver Inexperience,,,SPORT UTILITY / STATION WAGON,,
3,0,Driver Inexperience,Unspecified,,BUS,PASSENGER VEHICLE,
1,0,Brakes Defective,,,PASSENGER VEHICLE,,
1,0,Driver Inattention/Distraction,,,SPORT UTILITY / STATION WAGON,,
1,0,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,,
1,0,Driver Inattention/Distraction,,,PASSENGER VEHICLE,,
1,0,Fatigued/Drowsy,Unspecified,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
1,0,Failure to Yield Right-of-Way,,,LIVERY VEHICLE,,
1,0,Driver Inattention/Distraction,Passenger Distraction,,LIVERY VEHICLE,BICYCLE,
1,0,Driver Inattention/Distraction,Unspecified,,BICYCLE,PASSENGER VEHICLE,
2,0,Driver Inattention/Distraction,Backing Unsafely,,PASSENGER VEHICLE,PASSENGER VEHICLE,
1,0,Driver Inattention/Distraction,,,OTHER,,
1,0,Fatigued/Drowsy,Unspecified,,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),
1,0,Lost Consciousness,Unspecified,,TAXI,OTHER,
2,0,Fatigued/Drowsy,Unspecified,,SPORT UTILITY / STATION WAGON,BUS,
1,0,Fatigued/Drowsy,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
1,0,View Obstructed/Limited,,,SPORT UTILITY / STATION WAGON,,
1,0,Lost Consciousness,Lost Consciousness,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
1,0,Driver Inattention/Distraction,Unspecified,,PASSENGER VEHICLE,BUS,
2,0,Failure to Yield Right-of-Way,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,
2,0,Fatigued/Drowsy,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
